bioguide_id,representative,party,party_code,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
B000490,Bishop,Democratic,D,GA,346,8,0,28,0,382,374,7.5,92.5,2.1
J000288,Johnson (GA),Democratic,D,GA,371,8,0,3,0,382,374,0.8,99.2,2.1
M001208,McBath,Democratic,D,GA,341,25,1,15,0,382,356,4.2,95.8,6.5
S001157,"Scott, David",Democratic,D,GA,341,5,0,6,0,352,347,1.7,98.3,1.4
W000788,Williams (GA),Democratic,D,GA,363,18,0,1,0,382,364,0.3,99.7,4.7
C001055,Case,Democratic,D,HI,361,2,1,18,0,382,379,4.7,95.3,0.5
T000487,Tokuda,Democratic,D,HI,382,0,0,0,0,382,382,0.0,100.0,0.0
B001315,Budzinski,Democratic,D,IL,355,0,0,27,0,382,382,7.1,92.9,0.0
C001117,Casten,Democratic,D,IL,374,2,1,5,0,382,379,1.3,98.7,0.5
D000096,Davis (IL),Democratic,D,IL,376,5,0,1,0,382,377,0.3,99.7,1.3
F000454,Foster,Democratic,D,IL,369,0,1,12,0,382,381,3.1,96.9,0.0
G000586,García (IL),Democratic,D,IL,375,5,0,2,0,382,377,0.5,99.5,1.3
J000309,Jackson (IL),Democratic,D,IL,352,22,0,8,0,382,360,2.2,97.8,5.8
K000385,Kelly (IL),Democratic,D,IL,373,7,0,2,0,382,375,0.5,99.5,1.8
K000391,Krishnamoorthi,Democratic,D,IL,365,11,0,6,0,382,371,1.6,98.4,2.9
Q000023,Quigley,Democratic,D,IL,356,16,0,10,0,382,366,2.7,97.3,4.2
R000617,Ramirez,Democratic,D,IL,371,9,0,2,0,382,373,0.5,99.5,2.4
S001145,Schakowsky,Democratic,D,IL,368,13,0,1,0,382,369,0.3,99.7,3.4
S001190,Schneider,Democratic,D,IL,353,9,1,19,0,382,372,5.1,94.9,2.4
S001225,Sorensen,Democratic,D,IL,349,0,0,33,0,382,382,8.6,91.4,0.0
U000040,Underwood,Democratic,D,IL,379,2,0,1,0,382,380,0.3,99.7,0.5
C001072,Carson,Democratic,D,IN,374,5,0,3,0,382,377,0.8,99.2,1.3
M001214,Mrvan,Democratic,D,IN,342,10,1,29,0,382,371,7.8,92.2,2.6
D000629,Davids (KS),Democratic,D,KS,348,3,0,31,0,382,379,8.2,91.8,0.8
M001220,McGarvey,Democratic,D,KY,378,1,0,3,0,382,381,0.8,99.2,0.3
C001125,Carter (LA),Democratic,D,LA,370,5,0,7,0,382,377,1.9,98.1,1.3
F000110,Fields,Democratic,D,LA,361,13,1,7,0,382,368,1.9,98.1,3.4
A000148,Auchincloss,Democratic,D,MA,347,19,0,16,0,382,363,4.4,95.6,5.0
C001101,Clark (MA),Democratic,D,MA,377,0,1,4,0,382,381,1.0,99.0,0.0
K000375,Keating,Democratic,D,MA,356,17,0,9,0,382,365,2.5,97.5,4.5
L000562,Lynch,Democratic,D,MA,355,9,0,18,0,382,373,4.8,95.2,2.4
M000312,McGovern,Democratic,D,MA,374,8,0,0,0,382,374,0.0,100.0,2.1
M001196,Moulton,Democratic,D,MA,336,38,0,8,0,382,344,2.3,97.7,9.9
N000015,Neal,Democratic,D,MA,366,13,0,3,0,382,369,0.8,99.2,3.4
P000617,Pressley,Democratic,D,MA,378,4,0,0,0,382,378,0.0,100.0,1.0
T000482,Trahan,Democratic,D,MA,359,16,0,7,0,382,366,1.9,98.1,4.2
E000301,Elfreth,Democratic,D,MD,376,0,0,6,0,382,382,1.6,98.4,0.0
H000874,Hoyer,Democratic,D,MD,361,7,2,12,0,382,373,3.2,96.8,1.8
I000058,Ivey,Democratic,D,MD,373,7,0,2,0,382,375,0.5,99.5,1.8
M001232,McClain Delaney,Democratic,D,MD,355,8,0,19,0,382,374,5.1,94.9,2.1
M000687,Mfume,Democratic,D,MD,368,12,0,2,0,382,370,0.5,99.5,3.1
