representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Beyer,Democratic,VA,VA,371,8,1,2,0,382,373,0.5,99.5,2.1
Connolly,Democratic,VA,VA,62,19,0,1,0,82,63,1.6,98.4,23.2
McClellan,Democratic,VA,VA,379,0,1,2,0,382,381,0.5,99.5,0.0
Scott (VA),Democratic,VA,VA,380,1,0,1,0,382,381,0.3,99.7,0.3
Subramanyam,Democratic,VA,VA,364,1,2,15,0,382,379,4.0,96.0,0.3
Vindman,Democratic,VA,VA,332,2,0,48,0,382,380,12.6,87.4,0.5
Walkinshaw,Democratic,VA,VA,221,1,1,3,0,226,224,1.3,98.7,0.4
Plaskett,Democratic,VI,VI,28,11,0,1,0,40,29,3.4,96.6,27.5
Balint,Democratic,VT,VT,381,1,0,0,0,382,381,0.0,100.0,0.3
DelBene,Democratic,WA,WA,370,5,1,6,0,382,376,1.6,98.4,1.3
Jayapal,Democratic,WA,WA,365,16,0,1,0,382,366,0.3,99.7,4.2
Larsen (WA),Democratic,WA,WA,362,10,0,10,0,382,372,2.7,97.3,2.6
Perez,Democratic,WA,WA,266,4,0,112,0,382,378,29.6,70.4,1.0
Randall,Democratic,WA,WA,369,12,0,1,0,382,370,0.3,99.7,3.1
Schrier,Democratic,WA,WA,344,6,0,32,0,382,376,8.5,91.5,1.6
Smith (WA),Democratic,WA,WA,372,5,0,5,0,382,377,1.3,98.7,1.3
Strickland,Democratic,WA,WA,368,4,0,10,0,382,378,2.6,97.4,1.0
Moore (WI),Democratic,WI,WI,370,8,0,4,0,382,374,1.1,98.9,2.1
Pocan,Democratic,WI,WI,379,2,0,1,0,382,380,0.3,99.7,0.5
Kiley (CA),Independent,CA,CA,5,1,1,51,0,58,56,91.1,8.9,1.7
Begich,Republican,AK,AK,5,3,0,374,0,382,379,98.7,1.3,0.8
Aderholt,Republican,AL,AL,12,5,0,365,0,382,377,96.8,3.2,1.3
Moore (AL),Republican,AL,AL,6,8,0,368,0,382,374,98.4,1.6,2.1
Palmer,Republican,AL,AL,6,4,0,372,0,382,378,98.4,1.6,1.0
Rogers (AL),Republican,AL,AL,13,6,0,363,0,382,376,96.5,3.5,1.6
Strong,Republican,AL,AL,10,5,0,367,0,382,377,97.3,2.7,1.3
Crawford,Republican,AR,AR,5,7,0,370,0,382,375,98.7,1.3,1.8
Hill (AR),Republican,AR,AR,14,4,0,364,0,382,378,96.3,3.7,1.0
Westerman,Republican,AR,AR,11,3,0,368,0,382,379,97.1,2.9,0.8
Womack,Republican,AR,AR,16,45,0,321,0,382,337,95.3,4.7,11.8
Radewagen,Republican,AS,AS,0,28,0,12,0,40,12,100.0,0.0,70.0
Biggs (AZ),Republican,AZ,AZ,7,12,0,363,0,382,370,98.1,1.9,3.1
Ciscomani,Republican,AZ,AZ,14,8,0,360,0,382,374,96.3,3.7,2.1
Crane,Republican,AZ,AZ,10,1,0,371,0,382,381,97.4,2.6,0.3
Gosar,Republican,AZ,AZ,6,10,0,366,0,382,372,98.4,1.6,2.6
Hamadeh (AZ),Republican,AZ,AZ,4,2,1,375,0,382,379,98.9,1.1,0.5
Schweikert,Republican,AZ,AZ,6,6,0,370,0,382,376,98.4,1.6,1.6
Calvert,Republican,CA,CA,15,2,0,365,0,382,380,96.1,3.9,0.5
Fong,Republican,CA,CA,13,9,0,360,0,382,373,96.5,3.5,2.4
Issa,Republican,CA,CA,13,2,0,367,0,382,380,96.6,3.4,0.5
Kiley (CA),Republican,CA,CA,20,2,1,301,0,324,321,93.8,6.2,0.6
Kim,Republican,CA,CA,13,3,0,366,0,382,379,96.6,3.4,0.8
LaMalfa,Republican,CA,CA,0,9,0,244,0,253,244,100.0,0.0,3.6
McClintock,Republican,CA,CA,6,14,0,362,0,382,368,98.4,1.6,3.7
Obernolte,Republican,CA,CA,18,3,1,360,0,382,378,95.2,4.8,0.8
Valadao,Republican,CA,CA,27,8,0,347,0,382,374,92.8,7.2,2.1
Boebert,Republican,CO,CO,9,10,0,363,0,382,372,97.6,2.4,2.6
Crank,Republican,CO,CO,6,0,0,376,0,382,382,98.4,1.6,0.0
Evans (CO),Republican,CO,CO,18,0,0,364,0,382,382,95.3,4.7,0.0
Hurd (CO),Republican,CO,CO,17,1,0,364,0,382,381,95.5,4.5,0.3
Bean (FL),Republican,FL,FL,3,0,0,379,0,382,382,99.2,0.8,0.0
Bilirakis,Republican,FL,FL,6,9,0,367,0,382,373,98.4,1.6,2.4
Buchanan,Republican,FL,FL,13,15,0,354,0,382,367,96.5,3.5,3.9
Cammack,Republican,FL,FL,4,5,0,373,0,382,377,98.9,1.1,1.3
Diaz-Balart,Republican,FL,FL,17,20,0,345,0,382,362,95.3,4.7,5.2
Donalds,Republican,FL,FL,7,25,0,350,0,382,357,98.0,2.0,6.5
Dunn (FL),Republican,FL,FL,3,43,0,336,0,382,339,99.1,0.9,11.3
Fine,Republican,FL,FL,7,1,0,322,0,330,329,97.9,2.1,0.3
"Franklin, Scott",Republican,FL,FL,2,2,0,378,0,382,380,99.5,0.5,0.5
Gimenez,Republican,FL,FL,16,31,0,335,0,382,351,95.4,4.6,8.1
Haridopolos,Republican,FL,FL,12,6,0,364,0,382,376,96.8,3.2,1.6
Lee (FL),Republican,FL,FL,5,25,0,352,0,382,357,98.6,1.4,6.5
Luna,Republican,FL,FL,9,25,0,348,0,382,357,97.5,2.5,6.5
Mast,Republican,FL,FL,8,7,0,367,0,382,375,97.9,2.1,1.8
Mills,Republican,FL,FL,5,7,0,370,0,382,375,98.7,1.3,1.8
Patronis,Republican,FL,FL,10,0,0,320,0,330,330,97.0,3.0,0.0
Rutherford,Republican,FL,FL,5,49,0,328,0,382,333,98.5,1.5,12.8
Salazar,Republican,FL,FL,16,42,0,324,0,382,340,95.3,4.7,11.0
Steube,Republican,FL,FL,7,7,0,368,0,382,375,98.1,1.9,1.8
Waltz,Republican,FL,FL,0,4,0,5,0,9,5,100.0,0.0,44.4
Webster (FL),Republican,FL,FL,4,2,0,376,0,382,380,98.9,1.1,0.5
Allen,Republican,GA,GA,1,4,0,377,0,382,378,99.7,0.3,1.0
Carter (GA),Republican,GA,GA,5,17,0,360,0,382,365,98.6,1.4,4.5
Clyde,Republican,GA,GA,4,3,0,375,0,382,379,98.9,1.1,0.8
Collins,Republican,GA,GA,2,3,0,377,0,382,379,99.5,0.5,0.8
Fuller,Republican,GA,GA,2,0,0,44,0,46,46,95.7,4.3,0.0
Greene (GA),Republican,GA,GA,7,25,1,220,0,253,227,96.9,3.1,9.9
Jack,Republican,GA,GA,8,0,0,374,0,382,382,97.9,2.1,0.0
Loudermilk,Republican,GA,GA,1,17,0,364,0,382,365,99.7,0.3,4.5
McCormick,Republican,GA,GA,4,1,0,377,0,382,381,99.0,1.0,0.3
"Scott, Austin",Republican,GA,GA,2,2,0,378,0,382,380,99.5,0.5,0.5
Moylan,Republican,GU,GU,18,6,0,16,0,40,34,47.1,52.9,15.0
Feenstra,Republican,IA,IA,11,6,0,365,0,382,376,97.1,2.9,1.6
Hinson,Republican,IA,IA,7,4,0,371,0,382,378,98.1,1.9,1.0
Miller-Meeks,Republican,IA,IA,17,12,0,353,0,382,370,95.4,4.6,3.1
Nunn (IA),Republican,IA,IA,20,12,1,349,0,382,369,94.6,5.4,3.1
Fulcher,Republican,ID,ID,3,5,0,374,0,382,377,99.2,0.8,1.3
Simpson,Republican,ID,ID,19,5,0,358,0,382,377,95.0,5.0,1.3
Bost,Republican,IL,IL,6,3,0,373,0,382,379,98.4,1.6,0.8
LaHood,Republican,IL,IL,7,26,0,349,0,382,356,98.0,2.0,6.8
Miller (IL),Republican,IL,IL,2,6,0,374,0,382,376,99.5,0.5,1.6
Baird,Republican,IN,IN,9,20,0,353,0,382,362,97.5,2.5,5.2
Houchin,Republican,IN,IN,1,7,0,374,0,382,375,99.7,0.3,1.8
Messmer,Republican,IN,IN,3,5,0,374,0,382,377,99.2,0.8,1.3
Shreve,Republican,IN,IN,1,5,0,376,0,382,377,99.7,0.3,1.3
Spartz,Republican,IN,IN,10,15,0,357,0,382,367,97.3,2.7,3.9
Stutzman,Republican,IN,IN,1,5,0,376,0,382,377,99.7,0.3,1.3
Yakym,Republican,IN,IN,2,0,0,380,0,382,382,99.5,0.5,0.0
Estes,Republican,KS,KS,5,2,0,375,0,382,380,98.7,1.3,0.5
Mann,Republican,KS,KS,1,0,0,381,0,382,382,99.7,0.3,0.0
Schmidt,Republican,KS,KS,5,3,0,374,0,382,379,98.7,1.3,0.8
Barr,Republican,KY,KY,2,14,0,366,0,382,368,99.5,0.5,3.7
Comer,Republican,KY,KY,4,8,0,370,0,382,374,98.9,1.1,2.1
Guthrie,Republican,KY,KY,12,1,0,369,0,382,381,96.9,3.1,0.3
Massie,Republican,KY,KY,44,13,2,323,0,382,367,88.0,12.0,3.4
Rogers (KY),Republican,KY,KY,13,8,0,361,0,382,374,96.5,3.5,2.1
Higgins (LA),Republican,LA,LA,2,3,0,377,0,382,379,99.5,0.5,0.8
Johnson (LA),Republican,LA,LA,1,0,0,325,0,326,326,99.7,0.3,0.0
Letlow,Republican,LA,LA,2,15,0,365,0,382,367,99.5,0.5,3.9
Scalise,Republican,LA,LA,3,5,0,374,0,382,377,99.2,0.8,1.3
Harris (MD),Republican,MD,MD,8,9,1,364,0,382,372,97.8,2.2,2.4
Barrett,Republican,MI,MI,7,3,0,372,0,382,379,98.2,1.8,0.8
Bergman,Republican,MI,MI,6,10,0,366,0,382,372,98.4,1.6,2.6
Huizenga,Republican,MI,MI,9,5,0,368,0,382,377,97.6,2.4,1.3
James,Republican,MI,MI,12,12,0,358,0,382,370,96.8,3.2,3.1
McClain,Republican,MI,MI,8,8,0,366,0,382,374,97.9,2.1,2.1
Moolenaar,Republican,MI,MI,10,2,0,370,0,382,380,97.4,2.6,0.5
Walberg,Republican,MI,MI,10,3,0,369,0,382,379,97.4,2.6,0.8
Emmer,Republican,MN,MN,2,3,0,377,0,382,379,99.5,0.5,0.8
Finstad,Republican,MN,MN,2,5,0,375,0,382,377,99.5,0.5,1.3
Fischbach,Republican,MN,MN,2,1,0,379,0,382,381,99.5,0.5,0.3
Stauber,Republican,MN,MN,11,4,0,367,0,382,378,97.1,2.9,1.0
Alford,Republican,MO,MO,11,6,0,365,0,382,376,97.1,2.9,1.6
Burlison,Republican,MO,MO,9,15,0,358,0,382,367,97.5,2.5,3.9
Graves,Republican,MO,MO,3,11,0,368,0,382,371,99.2,0.8,2.9
Onder,Republican,MO,MO,6,7,0,369,0,382,375,98.4,1.6,1.8
Smith (MO),Republican,MO,MO,4,9,0,369,0,382,373,98.9,1.1,2.4
Wagner,Republican,MO,MO,10,2,0,370,0,382,380,97.4,2.6,0.5
King-Hinds,Republican,MP,MP,19,8,0,13,0,40,32,40.6,59.4,20.0
Ezell,Republican,MS,MS,8,1,0,373,0,382,381,97.9,2.1,0.3
Guest,Republican,MS,MS,6,7,0,369,0,382,375,98.4,1.6,1.8
Kelly (MS),Republican,MS,MS,1,4,0,377,0,382,378,99.7,0.3,1.0
Downing,Republican,MT,MT,2,0,0,380,0,382,382,99.5,0.5,0.0
Zinke,Republican,MT,MT,10,6,0,366,0,382,376,97.3,2.7,1.6
Edwards,Republican,NC,NC,17,3,0,362,0,382,379,95.5,4.5,0.8
Foxx,Republican,NC,NC,1,3,0,378,0,382,379,99.7,0.3,0.8
Harrigan,Republican,NC,NC,5,8,0,369,0,382,374,98.7,1.3,2.1
Harris (NC),Republican,NC,NC,4,0,0,378,0,382,382,99.0,1.0,0.0
