representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Babin,Republican,TX,TX,4,7,0,371,0,382,375,98.9,1.1,1.8
Carter (TX),Republican,TX,TX,8,3,0,371,0,382,379,97.9,2.1,0.8
Cloud,Republican,TX,TX,8,3,0,371,0,382,379,97.9,2.1,0.8
Crenshaw,Republican,TX,TX,3,32,0,347,0,382,350,99.1,0.9,8.4
De La Cruz,Republican,TX,TX,4,20,0,358,0,382,362,98.9,1.1,5.2
Ellzey,Republican,TX,TX,14,2,0,366,0,382,380,96.3,3.7,0.5
Fallon,Republican,TX,TX,2,4,0,376,0,382,378,99.5,0.5,1.0
Gill (TX),Republican,TX,TX,5,5,0,372,0,382,377,98.7,1.3,1.3
Goldman (TX),Republican,TX,TX,2,0,0,380,0,382,382,99.5,0.5,0.0
"Gonzales, Tony",Republican,TX,TX,3,34,0,299,0,336,302,99.0,1.0,10.1
Gooden,Republican,TX,TX,4,0,0,378,0,382,382,99.0,1.0,0.0
Hunt,Republican,TX,TX,2,91,0,289,0,382,291,99.3,0.7,23.8
Jackson (TX),Republican,TX,TX,3,8,0,371,0,382,374,99.2,0.8,2.1
Luttrell,Republican,TX,TX,6,2,0,374,0,382,380,98.4,1.6,0.5
McCaul,Republican,TX,TX,14,31,0,337,0,382,351,96.0,4.0,8.1
Moran,Republican,TX,TX,3,2,1,376,0,382,379,99.2,0.8,0.5
Nehls,Republican,TX,TX,3,20,0,359,0,382,362,99.2,0.8,5.2
Pfluger,Republican,TX,TX,4,2,0,376,0,382,380,98.9,1.1,0.5
Roy,Republican,TX,TX,11,11,0,360,0,382,371,97.0,3.0,2.9
Self,Republican,TX,TX,10,7,0,365,0,382,375,97.3,2.7,1.8
Sessions,Republican,TX,TX,5,1,0,376,0,382,381,98.7,1.3,0.3
Van Duyne,Republican,TX,TX,3,1,0,378,0,382,381,99.2,0.8,0.3
Weber (TX),Republican,TX,TX,1,8,0,373,0,382,374,99.7,0.3,2.1
Williams (TX),Republican,TX,TX,6,13,0,363,0,382,369,98.4,1.6,3.4
Kennedy (UT),Republican,UT,UT,4,4,0,374,0,382,378,98.9,1.1,1.0
Maloy,Republican,UT,UT,16,3,0,363,0,382,379,95.8,4.2,0.8
Moore (UT),Republican,UT,UT,9,1,0,372,0,382,381,97.6,2.4,0.3
Owens,Republican,UT,UT,10,5,0,367,0,382,377,97.3,2.7,1.3
Cline,Republican,VA,VA,3,2,0,377,0,382,380,99.2,0.8,0.5
Griffith,Republican,VA,VA,11,0,1,370,0,382,381,97.1,2.9,0.0
Kiggans (VA),Republican,VA,VA,20,2,0,360,0,382,380,94.7,5.3,0.5
McGuire,Republican,VA,VA,3,1,0,378,0,382,381,99.2,0.8,0.3
